label,CAGR,Sharpe,Sortino,MaxDD,WinRate,Trades,Trades/yr,End$per1k,window,band,NeighSharpe
SMA50/b0%,1.91,0.243,0.26,-23.62,34.1,91,9.1,1208.01,50,0.0,0.47575
SMA50/b1%,5.83,0.627,0.673,-16.2,44.1,34,3.4,1760.92,50,0.01,0.508
SMA50/b2%,5.0,0.531,0.58,-20.05,52.2,23,2.3,1627.37,50,0.02,0.5433333333333333
SMA50/b3%,3.66,0.398,0.418,-18.32,55.6,18,1.8,1432.56,50,0.03,0.519
SMA100/b0%,4.54,0.476,0.529,-17.96,42.6,61,6.1,1558.54,100,0.0,0.5293333333333333
SMA100/b1%,5.53,0.557,0.625,-15.25,52.0,25,2.5,1712.21,100,0.01,0.5680000000000001
SMA100/b2%,6.33,0.614,0.682,-16.87,53.3,15,1.5,1845.9,100,0.02,0.6237777777777778
SMA100/b3%,5.4,0.533,0.579,-24.24,41.7,12,1.2,1690.45,100,0.03,0.6265
SMA150/b0%,6.32,0.602,0.694,-19.47,40.9,44,4.4,1844.26,150,0.0,0.62
SMA150/b1%,7.18,0.671,0.775,-20.01,43.5,23,2.3,1997.98,150,0.01,0.6573333333333333
SMA150/b2%,8.78,0.791,0.912,-17.35,60.0,10,1.0,2318.09,150,0.02,0.7132222222222223
SMA150/b3%,9.95,0.892,1.024,-20.01,66.7,6,0.6,2579.66,150,0.03,0.7306666666666667
SMA200/b0%,6.52,0.607,0.701,-22.27,39.3,28,2.8,1879.3,200,0.0,0.6578333333333334
SMA200/b1%,8.92,0.807,0.942,-16.56,41.2,17,1.7,2347.59,200,0.01,0.6844444444444444
SMA200/b2%,8.84,0.791,0.905,-18.64,57.1,7,0.7,2330.25,200,0.02,0.7410000000000001
SMA200/b3%,8.54,0.763,0.867,-20.45,66.7,6,0.6,2267.02,200,0.03,0.7546666666666667
SMA250/b0%,6.73,0.597,0.687,-22.38,35.5,31,3.1,1916.02,250,0.0,0.6591666666666668
SMA250/b1%,7.48,0.663,0.766,-22.09,33.3,15,1.5,2054.86,250,0.01,0.6735555555555557
SMA250/b2%,7.12,0.631,0.73,-19.77,40.0,10,1.0,1986.84,250,0.02,0.6947777777777778
SMA250/b3%,7.44,0.66,0.764,-21.91,57.1,7,0.7,2047.33,250,0.03,0.6978333333333334
SMA300/b0%,8.08,0.685,0.807,-19.31,33.3,21,2.1,2172.21,300,0.0,0.63525
SMA300/b1%,6.98,0.596,0.685,-23.54,38.5,13,1.3,1961.34,300,0.01,0.6428333333333334
SMA300/b2%,8.24,0.685,0.793,-18.46,50.0,8,0.8,2205.62,300,0.02,0.6486666666666667
SMA300/b3%,7.88,0.657,0.759,-21.76,66.7,6,0.6,2132.71,300,0.03,0.65825
