label,CAGR,Sharpe,Sortino,MaxDD,DayWin%,Turnover/yr,AvgExposure,End$per1k
IS SPY B&H,13.22,0.92,1.151,-19.35,55.5,0.1,0.999,3456.14
IS champion SMA200/b3,8.56,0.765,0.869,-20.45,55.5,1.1,0.846,2270.89
IS E1 champ+rfcash,8.67,0.774,0.88,-20.4,55.5,1.1,0.846,2294.21
OOS SPY B&H,15.0,0.778,0.956,-33.72,55.2,0.17,0.999,2301.32
OOS champion SMA200/b3,11.58,0.876,0.963,-20.76,56.5,1.51,0.787,1921.74
OOS E1 champ+rfcash,12.15,0.914,1.004,-18.95,56.5,1.51,0.787,1981.24
IS E2 vt0.18/lb20,8.51,0.78,0.891,-20.38,55.5,1.42,0.836,2260.83
OOS E2 vt0.18/lb20,11.37,0.925,1.063,-19.75,56.5,2.14,0.769,1900.07
OOS E3 E2+rfcash,11.95,0.967,1.111,-17.9,56.5,2.14,0.769,1960.47
OOS E2nbr vt0.18/lb40,11.48,0.92,1.051,-19.63,56.5,1.65,0.766,1911.72
OOS E2nbr vt0.15/lb20,10.94,0.939,1.092,-18.02,56.5,2.81,0.743,1856.79
